Companies;Company Sectors;Company Headquarters;Countries;Regions;Response Sectors;Backdate;Title;Responded To;Tags;Responded;Authors;URL;Link to Company Page;Story;Response
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;ID;;Clothing & textile;12.05.2012;Response to request for feedback on PT Kizone case in Indonesia;Indonesia: Workers Rights Consortium comments on adidas' communication to universities re alleged labour rights abuses at supplier factor, PT Kizone;Labour Rights|Supply Chains;Yes;adidas Group;https://www.business-humanrights.org/en/latest-news/response-to-request-for-feedback-on-pt-kizone-case-in-indonesia/;https://www.business-humanrights.org/en/companies/adidas/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;GB;;Clothing & textile;01.03.2012;Statement by adidas Group in response to human rights concerns re London Olympics;Investors call on Olympic sponsors, tourism sector to step up anti-trafficking, slavery efforts in advance of London Olympics;Forced Labour & Modern Slavery|Freedom from Slavery|Human Trafficking;Yes;Frank Henke, adidas Group;https://www.business-humanrights.org/en/latest-news/statement-by-adidas-group-in-response-to-human-rights-concerns-re-london-olympics/;https://www.business-humanrights.org/en/companies/adidas/;;
Rio Tinto;Mining;GB;MZ;;Mining;29.05.2012;Rio Tinto’s response to concerns about its operations in Mozambique;"Mozambique: Vale, Rio Tinto operations characterised by failure to invest in communities, lack of transparency and ""unjust resettlement programme"", say activists";Access to Information|Adequate Living Standards|Displacement|Economic, Social, and Cultural Rights|Free, prior & informed consent|Housing|Ownership of Property & Possessions;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-to-concerns-about-its-operations-in-mozambique/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
Vale;Energy|Metals & steel|Mining|Oil, gas & coal;BR;MZ;;Mining;05.06.2012;Vale's response to report which raises concerns about its operations in Mozambique;"Mozambique: Vale, Rio Tinto operations characterised by failure to invest in communities, lack of transparency and ""unjust resettlement programme"", say activists";Access to Information|Adequate Living Standards|Displacement|Economic, Social, and Cultural Rights|Free, prior & informed consent|Housing|Ownership of Property & Possessions;Yes;Vale;https://www.business-humanrights.org/en/latest-news/vales-response-to-report-which-raises-concerns-about-its-operations-in-mozambique/;https://www.business-humanrights.org/en/companies/vale/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;CD;;Mining;16.04.2012;Glencore response to BBC Panorama Broadcast;Analysis of challenges & best practices in tackling child labour in food, mining, retail, tobacco sectors;;Yes;Glencore;https://www.business-humanrights.org/en/latest-news/glencore-response-to-bbc-panorama-broadcast/;https://www.business-humanrights.org/en/companies/glencore/;;
Nike;Clothing & textile|Footwear|Sporting goods;US;CN;;Clothing & textile;17.01.2007;Response by Nike: Labor groups raise concerns about positions of multinational & their business organizations regarding China’s proposed labour law reform.;China labour law reform;Labour Rights;Yes;;https://www.business-humanrights.org/en/latest-news/response-by-nike-labor-groups-raise-concerns-about-positions-of-multinational-their-business-organizations-regarding-chinas-proposed-labour-law-reform/;https://www.business-humanrights.org/en/companies/nike/;;
Inditex;Clothing & textile|Footwear|Retail;ES;IN;;Clothing & textile;07.08.2012;Inditex response;India: Follow-up report on exploitation of child workers and Dalit children exposes lack of action by intl. clothing brands;;Yes;Inditex;https://www.business-humanrights.org/en/latest-news/inditex-response/;https://www.business-humanrights.org/en/companies/inditex/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;13.08.2012;Response by Shell to articles & statement re cleanup of Bodo spill, Nigeria;Leigh Day's 2012 annual review celebrates 25 years of personal injury & human rights litigation;Clean, Healthy & Sustainable Environment|Economic, Social, and Cultural Rights;Yes;Andrew Vickers, Shell;https://www.business-humanrights.org/en/latest-news/response-by-shell-to-articles-statement-re-cleanup-of-bodo-spill-nigeria/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;10.09.2012;Shell response to “Issues Brief” by former UN Special Representative on business & human rights John Ruggie;Motley Fool article examines Kiobel v. Shell lawsuit pending before US Supreme Ct. & how companies deal with local communities;Alien Tort Claims Act (USA)|Clean, Healthy & Sustainable Environment|Corporate Legal Accountability|Economic, Social, and Cultural Rights|Lawsuits & regulatory action;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-response-to-issues-brief-by-former-un-special-representative-on-business-human-rights-john-ruggie/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Archer Daniels Midland (ADM);Agriculture & livestock;US;US;;Agriculture & livestock;27.08.2012;Archer Daniels Midland response re concerns about impacts of trading activities on small farmers in poor countries;Oxfam report raises concerns about impacts of Archer Daniels Midland, Bunge, Cargill & Louis Dreyfusyour trading activities on small farmers in poor countries;Economic, Social, and Cultural Rights|Right to Food;Yes;Archer Daniels Midland;https://www.business-humanrights.org/en/latest-news/archer-daniels-midland-response-re-concerns-about-impacts-of-trading-activities-on-small-farmers-in-poor-countries/;https://www.business-humanrights.org/en/companies/archer-daniels-midland-adm/;;
Glencore;Metals & steel|Mining|Oil, gas & coal;CH;ZM;;Mining;25.09.2012;Glencore response to “Zambia: Good Copper, Bad Copper” film;Zambia: Glencore's Mopani copper mine causes pollution & illness, does not contribute to local development, says film;;Yes;Glencore ;https://www.business-humanrights.org/en/latest-news/glencore-response-to-zambia-good-copper-bad-copper-film/;https://www.business-humanrights.org/en/companies/glencore/;;
Rio Tinto;Mining;GB;MN;;Mining;23.10.2012;Rio Tinto’s response to concerns about Oyu Tolgoi and the recently released Environmental and Social Impact Assessment (ESIA);Mongolia: World Bank & others consider investing in Rio Tinto's mining project despite alleged local community displacement & scarce water resources;Access to Water|Displacement|Ownership of Property & Possessions;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-to-concerns-about-oyu-tolgoi-and-the-recently-released-environmental-and-social-impact-assessment-esia/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
adidas;Clothing & textile|Footwear|Retail|Sporting goods;DE;ID;;Clothing & textile;16.10.2012;Response to request for feedback on PT Kizone case in Indonesia;Indonesia: Workers Rights Consortium comments on adidas' communication to universities re alleged labour rights abuses at supplier factor, PT Kizone;Labour Rights|Supply Chains;Yes;adidas;https://www.business-humanrights.org/en/latest-news/response-to-request-for-feedback-on-pt-kizone-case-in-indonesia-2/;https://www.business-humanrights.org/en/companies/adidas/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;BD;;Clothing & textile;22.10.2012;H&M response to “Hypocrisy & Minimum wage” [Bangladesh;H&M CEO asks Bangladesh Govt. to raise minimum wage: Intl. Labour Rights Forum says pressure better placed on producers;Labour Rights|Living Wage|Personal Health|Supply Chains;Yes;Helena Helmersson, H&M;https://www.business-humanrights.org/en/latest-news/hm-response-to-hypocrisy-minimum-wage-bangladesh/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Rio Tinto;Mining;GB;MN;;Mining;17.10.2012;Rio Tinto’s response to recent complaints filed against Oyu Tolgoi;Mongolian herders file complaint with IFC & Multilateral Insurance Guarantee Agency’s accountability mechanism over Rio Tinto mine being considered for financial support;Displacement|Ownership of Property & Possessions;Yes;Rio Tinto;https://www.business-humanrights.org/en/latest-news/rio-tintos-response-to-recent-complaints-filed-against-oyu-tolgoi/;https://www.business-humanrights.org/en/companies/rio-tinto/;;
BHP;Mining|Oil, gas & coal;AU;CO;;Mining;30.10.2012;BHP Billiton response;Leader of Colombian community, allegedly displaced by coal mine, seeks redress at BHP Billiton's AGM in London;Access to Water|Displacement|Ownership of Property & Possessions;Yes;BHP Billiton;https://www.business-humanrights.org/en/latest-news/bhp-billiton-response/;https://www.business-humanrights.org/en/companies/bhp-formerly-bhp-billiton/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;TN;;Oil, gas & coal;20.11.2012;Shell statement on protests against potential shale gas extraction in Tunisia;Tunisia: Protest against proposed shale gas extraction by Shell, over environmental & health concerns;Clean, Healthy & Sustainable Environment|Personal Health|Protests;Yes;Shell;https://www.business-humanrights.org/en/latest-news/shell-statement-on-protests-against-potential-shale-gas-extraction-in-tunisia/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Nestlé;Food & beverage;CH;CO;;Food & beverage;27.11.2012;Response by Nestlé to allegations on death threats to trade union leaders in Colombia;Members of union of Nestlé employees threatened with death by paramilitaries, says Amnesty International.;Death threats|Freedom of Association|Intimidation|Security Issues & Conflict Zones;Yes;Nestlé;https://www.business-humanrights.org/en/latest-news/response-by-nestlé-to-allegations-on-death-threats-to-trade-union-leaders-in-colombia/;https://www.business-humanrights.org/en/companies/nestlé/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;KH;;Clothing & textile;18.12.2012;H&M response;Cambodia: Thousands of garment workers stage protests over unpaid wages, severance & benefits from factories suspended amid COVID-19, Incl. company responses;Living Wage;Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-response/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;06.01.2013;Shell Response;"Report: ""Corporate Liability in a New Setting: Shell & the Changing Legal Landscape for the Multinational Oil Industry in the Niger Delta""";Clean, Healthy & Sustainable Environment|Complicity|Economic, Social, and Cultural Rights|Killings|Labour Rights|Personal Health|Security Issues & Conflict Zones|Violence;Yes;Shell ;https://www.business-humanrights.org/en/latest-news/shell-response/;https://www.business-humanrights.org/en/companies/shell-plc/;;
ExxonMobil;Oil, gas & coal;US;NG;;Oil, gas & coal;22.01.2013;ExxonMobil Response;"Nigeria: Frequent spills at Qua Iboe Oil Fields, operated by ExxonMobil subsidiary, have ""destroyed fishing"" in coastal community";;Yes;ExxonMobil;https://www.business-humanrights.org/en/latest-news/exxonmobil-response/;https://www.business-humanrights.org/en/companies/exxonmobil/;;
TotalEnergies (formerly Total);Energy|Hydrogen|Oil, gas & coal;FR;UG;;Oil, gas & coal;21.03.2013;Total's response;Uganda: Local residents say they have received too little compensation for damage to homes, farms from oil exploration by Total and construction of refinery;Access to Information|Displacement|Economic, Social, and Cultural Rights|Land Rights|Ownership of Property & Possessions;Yes;Total;https://www.business-humanrights.org/en/latest-news/totals-response/;https://www.business-humanrights.org/en/companies/totalenergies-formerly-total/;;
Shell plc;Hydrogen|Oil, gas & coal;GB;NG;;Oil, gas & coal;09.04.2013;[DOC] Shell's response;Nigerian farmer says Shell has not paid damages that a Dutch court awarded to him for pollution that he says affected family’s well-being;Clean, Healthy & Sustainable Environment|Corporate Legal Accountability|Economic, Social, and Cultural Rights|Right to Education;Yes;Shell;https://www.business-humanrights.org/en/latest-news/doc-shells-response/;https://www.business-humanrights.org/en/companies/shell-plc/;;
Hennes & Mauritz (H&M);Clothing & textile;SE;KH;;Clothing & textile;11.04.2013;H&M Statement;Clean Clothes Campaign calls on H&M to commit to providing a living wage to workers in Cambodia;Companies Raising Human Rights Issues with Governments|Company Policies|Living Wage|Universal Declaration of Human Rights (UDHR);Yes;H&M;https://www.business-humanrights.org/en/latest-news/hm-statement/;https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/;;
