document_id,text,cluster,cluster_label,cluster_rq
doc_0015,"As an answer to Burma Campaign, Total recalls its long term commitment to helping the population of Myanmar, as highlighted by the company’s assistance during recent hardship suffered due to Nargis...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0015,Total also realises that our impact on society reaches beyond the direct area where we operate.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0015,That is why we decided to undertake humanitarian programmes on a national basis...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0015,"As long as we believe our operations on the Yadana project can also contribute to the welfare of the people of Myanmar, we are committed to staying in the country and to demonstrating that our presence is more beneficial for the Myanmar people than our absence could be.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0016,Shell remains committed to ending the continuous flaring of gas in its operations in Nigeria...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0016,The...joint venture...has made considerable progress in reducing flaring.,11,Flaring reduction targets and investments,"[2, 3, 4, 5]"
doc_0016,"Regrettably, security issues that prevent access to key construction sites - and lack of funding from our majority JV partner - are continuing to delay the gas gathering projects.",4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0016,The SPDC joint venture has invested approximately $3 billion to date to reduce continuous flaring.,11,Flaring reduction targets and investments,"[2, 3, 4, 5]"
doc_0016,More than $3 billion of additional investment is needed to reduce flaring as low as is reasonably possible...,11,Flaring reduction targets and investments,"[2, 3, 4, 5]"
doc_0016,Shell values our work with IUCN...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0017,"As such, we will not be offering a detailed response.",0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0017,"However, as we clearly state in our Annual Report, we recognise the intrinsic link between sound sustainability performance and long term business viability...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0017,We operate in many countries and are subject to extensive regulation surrounding the health and safety of our people and the environment.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0017,"We make every effort to comply with the regulations and where less stringent than our own standards, exceed applicable legal and other requirements.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0018,Your report on gas flares in Nigeria is inaccurate and completely ignores the information you asked us for...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0018,[T]he SPDC joint venture has reduced flaring by some 65% from our operations between 2002-2009.,11,Flaring reduction targets and investments,"[2, 3, 4, 5]"
doc_0018,"Part of this reduction is because oil production has been shut-in for security concerns, which are well known, and have, of course, also prevented progress on some of our gas gathering projects...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0018,The ‘ominous’ new facility you mention as evidence of increased flaring in the Niger Delta is in fact a temporary well test facility for a development that will harness gas and actually reduce flaring overall when it comes on stream soon.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0019,[W]e...know that Cornerstone presents some environmental challenges...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0019,We’re committed to reducing these environmental impacts as much as possible...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0019,"Kennecott is proposing to convert the majority of the onsite, coal-fired power plant to a combined-cycle natural gas operation...dramatically reducing emissions...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0019,"According to the most recent UDAQ [Utah Division of Air Quality] compiled Statewide Emissions Inventory, 2008, the decrease in PM10 and Precursor emissions proposed at the power plant is equivalent to approximately 12% of the On-Road Mobile emissions in Salt Lake and Utah counties combined...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0019,"Additionally, the monitors closest to Kennecott’s operations (Herriman and Magna) show the best annual PM2.5 averages in the valley...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0019,[O]ur impacts in the major metropolitan areas are expected to be less than in the areas closest to our operations (where they are demonstrably already low).,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0021,The Shell Sustainability Report 2010 has been reviewed by an External Review Committee of independent experts.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0021,We report in accordance with the Global Reporting Initiative (GRI) and in line with the International Petroleum Industry Environmental Conservation Association (IPIECA) guidelines.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0021,GRI confirmed the level of reporting is rated amongst the best in industry (A+).,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0022,"The issue is extremely complex, with a number of stakeholders involved in the on-going process and two parties who feel strongly they have legitimate claims to the land.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0022,"With support from Shell and Cosan, Raizen is talking with all the relevant parties to try to find acceptable solutions that benefit the two most important groups, namely the indigenous people and the landowner.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0022,We cannot vouch for or against claims about specific comments or actions by individuals.,0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0022,"We are aware of the underlying issue here, which relates to Raizen's plant in Caarapó in the State of Mato Grosso do Sul, where one of the JV's suppliers is producing sugar cane in an area being evaluated by the Brazilian authorities for conversion into indigenous land.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0023,"Vale in Colombia is accomplishing all labor laws of Colombia, and also have extra benefits above the statutory legal rights for employees.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0023,Vale in any case is interfering with the right institutional of labor union association.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0023,The managers of the company in any case have attacked the good practices in its dealings with employees.,4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0024,"Following the publication of this report, TOTAL takes the opportunity, to better explain its position concerning Human Rights and Indigenous Peoples.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0024,"First and foremost, we want to express our disappointment when reading this report, and clearly state that we disagree both with many of the allegations contained in this report, and the way the findings are presented.",0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0024,"TOTAL E&P Bolivie which would have been happy to participate, and to give its input to this survey, has never been invited to do so...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0026,Royal Dutch Shell...has been notified by the OECD that a complaint has been received under its Guidelines for Multinational Enterprises.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0026,RDS will study it carefully and liaise with the OECD on the way forward.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0027,It is unfortunate that this film portrays Nestlé’s water related activities in a one-sided way.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0027,We are always open to debate when it is objective and when it allows us to convey our position and our activities in a clear manner.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0027,"However, when approached by the movie makers a couple of years ago, we decided not to engage in this dialogue as we were under the strong impression that the film would not represent Nestlé and its employees in a fair manner.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0027,We agree that water is a crucial issue: not only do our products require water throughout their value chain (from raw material production to use by consumers) but water is also essential for individual daily hydration and hygiene.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0027,Nestlé supports the human right to water as a basic need.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0028,ExxonMobil is committed to having a workplace that facilitates the maximum contribution from all of our employees.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0028,one of the most significant is having a workplace that is free from any form of harassment or discrimination.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0028,"The Board has reviewed in detail ExxonMobil's existing global policies that prohibit all forms of discrimination, including those based on sexual orientation and gender identity, in any Company workplace, anywhere in the world.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0028,"In fact, ExxonMobil's policies go beyond the law and prohibit any form of discrimination.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0028,"Based on these existing all-inclusive, zero-tolerance policies, the Board believes the proposal is unnecessary.",0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0029,"The factory closed due to bankruptcy in March 2011, 2 months after the owner fled the country and 5 months after the adidas Group shipped its final goods...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0029,Bank creditors...forced the factory's closure...,4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0029,"The factory premises have been bought, but the new owner has yet to re-open this business...",4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0029,The bankruptcy proceedings will result in some pay-out to workers...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0029,Our position is as follows: We do care about the situation facing the former PT Kizone workers and their families and have taken steps to assist [them].,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0029,The adidas Group will not...assume the...duties of the former...owner and pay severance to the workers...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0029,we have retained the services of a recruitment consultant to assist workers with job placement...,13,Community investment and job creation,"[1, 4, 5]"
doc_0029,We have also engaged with the Indonesian government and the South Korean Embassy regarding the flight of the PT Kizone owner...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0030,"We recognize, however, our own limitations...We therefore focus...on...our own sphere of influence...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0030,"We would like to direct you to our global Human Rights Charta, the adidas Group position on Human Rights and responsible business practices and the adidas Group Policy on Human Rights and Human Trafficking...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0030,Systematic analysis about human rights issues is conducted in the process of the development and regular update of our country risk profiles that form the basis for supplier monitoring program and help us to focus on systemic issues in a certain country...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0030,We regularly report about progress against our annual targets through annual sustainability report that also covers...findings from our supplier monitoring...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0030,We also believe that the private sector can play a constructive role...,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0033,...Inditex has clearly answered that none of its suppliers (including those working for Pull&Bear brand) neither work nor accept the Sumangali scheme.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0033,Inditex has confirmed the veracity of this fact and is actively working in this sense together with other Indian manufacturers through our partnership with the Ethical Trading Initiative (ETI).,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0034,"Shell would like to stress that the joint investigation, conducted by the regulator, Shell Petroleum Development Company (SPDC) and community members, has not yet been concluded.",4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0034,SPDC will publish the joint investigation report...once it is complete.,4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0034,The affected pipeline section is being removed for off-site testing.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0034,This approach was...supported by the community members that are part of the Joint Investigation Team.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0034,Community representatives will have ongoing access to the section of pipe.,7,Ongoing community communication,"[1, 4, 5]"
doc_0034,The issue of illegal bunkering has been widely reported by the international media...,0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0034,"Unfortunately, there are also instances where spills are caused by operational failures, such as equipment failure and human error.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0034,"SPDC pays compensation to those affected by operational spills, and cleans up all spills...as soon as possible.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0034,Staff and contractors are working hard to eliminate operational spill incidents...,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0034,SPDC is also making it easier for you to track its progress on spills management.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0035,History and the facts show that Shell has been an advocate of corporate social responsibility (CSR).,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0035,A Board level CSR Committee oversees the company’s policies and performance with respect to the Shell General Business Principles.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0035,"Professor Ruggie’s paper states that the Kiobel case may be useful to prompt conversation on a series of questions about the interfaces of business, law and human rights.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0035,Shell will continue to engage on these important topics.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0036,"As the world’s populations heads towards 9 billion by 2050, demand for food and energy is growing.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0036,"We believe that through innovation, investments and partnerships, global agriculture can grow to continue meeting needs for food, feed, fuel and fiber.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0036,"With its vast global sourcing, transportation and processing network, ADM is efficiently connecting supply and demand every single day.",13,Community investment and job creation,"[1, 4, 5]"
doc_0036,This helps buffer the impact of regional shortages that can lead to price volatility and acute hunger issues.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0036,ADM also supports efforts to help smallholder farmers in the developing world grow and preserve more of their own food to help protect them and their communities from price shocks.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0036,"We’re increasing our presence in key crop-growing regions, helping to connect more farmers to global markets, improving farmers’ livelihoods and enhancing the global supply of crops.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0037,Glencore provided [evidence] to the UK Government's International Development Select Committee hearing in April this year [re operations in Zambia -- link provided].,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0037,Glencore has been a major investor and employer in Zambia for over 12 years.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0037,"Our evidence provides an excellent overview of our operations in Zambia, especially the work we do across the surrounding communities - health, education, building of vital infrastructure.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0037,"the taxes, royalties and other dues to the Government have always been calculated and paid in the proper manner in line with the applicable legislation.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0041,BHP Billiton welcomed Mr Ustate’s question at its AGM and the opportunity to talk to him after the meeting.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0041,The community of Manantial was displaced around 15 years before BHP Billiton took up equity in the mine so it is not an issue the company has direct knowledge of.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0041,"We have, however, asked that Cerrejon management meet with the Mr Ustate (an initial meeting was held before the AGM) to ensure his concerns are fully understood and addressed as appropriate.",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0041,It is also important to understand that the river diversion is an option that is being considered for further expansion of the mine.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0041,It has yet to be approved by the shareholders and any decision will take into account the results of environmental impact assessments and extensive community consultation”.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0042,Shell supports the rights of Tunisians to engage in discussions about onshore gas development.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0042,"Further, we hope to inform a rational, fact-based conversation with Tunisians about the benefits of safe and responsible energy development.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0042,"In mid-2012, Shell applied to the Government of Tunisia for an exploration permit and they are currently assessing our application...",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0043,The security and safety of our employees is a top priority for Nestlé in Colombia and elsewhere in the world.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0043,We categorically reject any type of violence or intimidation against any employee of our company.,4,Remediation and Responsibility Limits,"[1, 2, 3, 4, 5, 6]"
doc_0043,"On the specific cases mentioned by Amnesty International, Nestlé Colombia denounced the violence in both internal and external statements, and has formally intervened with the Colombian authorities at local and national level calling for a swift investigation and adequate protection of those threatened...",1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0044,[Shell is]...studying this report with interest.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0044,We take our responsibilities in Nigeria...very seriously.,1,"Assurances, Standards, Grievances","[1, 3, 4, 5]"
doc_0044,We are committed to cleaning up all spills from our facilities...and to paying fair compensation to people affected...as required by...law.,6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0044,"Legal action against Shell and its subsidiaries, far from helping the unfortunate people affected by oil spills in the Niger Delta, in many cases actually serves to delay both payment of compensation and cleanup.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0044,"The vast majority of the oil spilt in Nigeria is caused by widespread criminality...which, alongside equally widespread illegal refining operations, blights the country and causes most of the terrible environmental damage.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0044,"This is the real tragedy of the Niger Delta, and it is this which all organisations with an interest in Nigeria, from NGO and investors to the Nigerian authorities and energy companies, should be focusing on.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0045,Emergency response personnel were immediately mobilized and the pipeline was shut down.,3,Immediate remediation & engagement,"[1, 3, 4, 5, 6]"
doc_0045,Dispersants and boom were deployed as approved by regulatory authorities and more than 500 local personnel were contracted to undertake cleanup work along the coastline.,3,Immediate remediation & engagement,"[1, 3, 4, 5, 6]"
doc_0045,"Cleanup activities were coordinated with the Department of Petroleum Resources, National Oil Spill Detection and Response Agency, Akwa Ibom State Ministry of Environment and local leaders of the affected Akwa Ibom communities.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0045,Mobil Producing Nigeria regrets this incident and apologizes for any inconvenience that it caused.,0,Denial and Counter Evidence,"[1, 2, 3, 4, 5]"
doc_0045,"As the nearest operator to the impacted area, Mobil Producing Nigeria cleaned up the shoreline as required by law while the source of the spill was investigated.",6,Responsibility and transparency,"[2, 3, 4, 5]"
doc_0046,"Total has just started operating in Uganda, and has not acquired any land in the area referenced in the article.",6,Responsibility and transparency,"[2, 3, 4, 5]"
